year,station_id,longitude,latitude,city_id,city_name_chn,city_name_eng
1994,S000271,114.0409,33.532,154.0,漯河市,Luohe
1994,S000272,114.0964,33.4215,154.0,漯河市,Luohe
1994,S000273,113.7759,34.0429,153.0,许昌市,Xuchang
1994,S000274,114.0532,33.5543,154.0,漯河市,Luohe
1994,S000275,114.0655,33.2504,,,
1994,S000276,114.379,30.6624,161.0,武汉市,Wuhan
1994,S000277,114.411,36.4061,,,
1994,S000278,114.5273,36.5196,6.0,邯郸市,Handan
1994,S000279,114.3807,36.077,148.0,安阳市,Anyang
1994,S000280,114.4247,36.2428,148.0,安阳市,Anyang
1994,S000281,113.8605,35.2075,150.0,新乡市,Xinxiang
1994,S000282,114.3627,35.8605,149.0,鹤壁市,Hebi
1994,S000283,114.5122,38.0351,3.0,石家庄市,Shijiazhuang
1994,S000284,116.1529,39.6395,,,
1994,S000285,114.4916,37.8866,3.0,石家庄市,Shijiazhuang
1994,S000286,114.6261,37.3934,,,
1994,S000287,114.5088,36.7961,6.0,邯郸市,Handan
1994,S000288,114.5275,36.5241,6.0,邯郸市,Handan
1994,S000289,114.2804,30.5205,161.0,武汉市,Wuhan
1994,S000290,114.3314,30.4686,161.0,武汉市,Wuhan
1994,S000291,126.0025,44.8839,,,
1994,S000292,126.7283,45.7368,55.0,哈尔滨市,Harbin
1994,S000293,116.1548,39.662,,,
1994,S000294,116.2612,39.7795,,,
1994,S000295,116.2857,39.7828,1.0,北京市,Beijing
1994,S000296,116.468,39.8648,1.0,北京市,Beijing
1994,S000297,113.0706,25.735,182.0,郴州市,Chenzhou
1994,S000298,113.0758,25.7394,182.0,郴州市,Chenzhou
1994,S000299,114.1561,35.8539,149.0,鹤壁市,Hebi
1994,S000300,114.3637,35.8786,149.0,鹤壁市,Hebi
1994,S000301,119.216,29.4203,,,
1994,S000302,119.748,29.0611,86.0,金华市,Jinhua
1994,S000303,117.4025,25.967,,,
1994,S000304,117.9563,24.415,108.0,厦门市,Xiamen
1994,S000305,116.9817,28.1184,121.0,鹰潭市,Yingtan
1994,S000306,118.0798,26.5776,,,
1994,S000307,115.3074,39.0282,,,
1994,S000308,115.4606,38.8363,8.0,保定市,Baoding
1994,S000309,130.6462,45.8275,,,
1994,S000310,130.8806,45.8259,63.0,七台河市,Qitaihe
1994,S000311,104.0161,37.1115,,,
1994,S000312,104.4708,37.4304,,,
1994,S000313,123.4614,41.813,34.0,沈阳市,Shenyang
1994,S000314,124.0278,42.5628,,,
1994,S000315,103.9036,36.1874,,,
1994,S000316,104.1225,36.4874,263.0,白银市,Baiyin
1994,S000317,104.4767,37.4307,,,
1994,S000318,106.4484,38.9105,274.0,石嘴山市,Shizuishan
1994,S000319,106.4478,38.924,274.0,石嘴山市,Shizuishan
1994,S000320,106.6762,39.2828,,,
1994,S000321,106.6716,39.3868,,,
1994,S000322,109.6529,40.5275,,,
1994,S000323,109.6529,40.5321,26.0,包头市,Baotou
1994,S000324,109.9319,41.7061,,,
1994,S000325,109.7864,40.6682,26.0,包头市,Baotou
1994,S000326,109.9817,40.5733,26.0,包头市,Baotou
1994,S000327,109.9817,40.5687,26.0,包头市,Baotou
1994,S000328,110.2867,40.6454,,,
1994,S000329,104.1296,30.6342,222.0,成都市,Chengdu
1994,S000330,104.2029,30.8152,,,
1994,S000331,104.2076,30.8246,,,
1994,S000332,105.9578,32.8978,,,
1994,S000333,105.9573,32.9069,,,
1994,S000334,107.1329,34.2889,252.0,宝鸡市,Baoji
1994,S000335,117.3244,49.604,,,
1994,S000336,119.9217,49.22,31.0,呼伦贝尔市,Hulunbeir
1994,S000337,105.7993,32.4437,228.0,广元市,Guangyuan
1994,S000338,106.4622,32.2155,,,
1994,S000339,114.0949,36.7557,,,
1994,S000340,114.503,36.7963,6.0,邯郸市,Handan
1994,S000341,110.2615,21.6086,,,
1994,S000342,110.8182,21.5778,194.0,茂名市,Maoming
1994,S000343,112.1515,34.3893,,,
1994,S000344,112.5732,34.5712,146.0,洛阳市,Luoyang
