year,station_id,station_name,province,degree_centrality,betweenness_centrality,closeness_centrality
1935,ST0026,长春市,吉林省,0.047058823529411764,0.04089635854341737,0.0005694161103878083
1935,ST0045,天津市,天津市,0.047058823529411764,0.06946778711484593,0.0005632696004211375
1935,ST0055,宿州市,安徽省,0.023529411764705882,0.0392156862745098,7.602700957188629e-05
1935,ST0059,淮南市,安徽省,0.011764705882352941,0.0,6.24254795837469e-05
1935,ST0061,芜湖市,安徽省,0.011764705882352941,0.0,6.24254795837469e-05
1935,ST0062,蚌埠市,安徽省,0.023529411764705882,0.04005602240896358,7.664463876240731e-05
1935,ST0068,临沂市,山东省,0.011764705882352941,0.0,0.0004075062654088307
1935,ST0070,德州市,山东省,0.023529411764705882,0.006442577030812325,4.5817066485002e-05
1935,ST0072,枣庄市,山东省,0.011764705882352941,0.0,0.0004075062654088307
1935,ST0073,泰安市,山东省,0.03529411764705882,0.03333333333333333,5.02369676017435e-05
1935,ST0074,济南市,山东省,0.03529411764705882,0.012324929971988795,4.6639938581030874e-05
1935,ST0075,济宁市,山东省,0.023529411764705882,0.035854341736694675,5.1414530441648626e-05
1935,ST0076,淄博市,山东省,0.047058823529411764,0.02857142857142857,4.728794346716507e-05
1935,ST0078,潍坊市,山东省,0.011764705882352941,0.0,4.709843200243602e-05
1935,ST0081,莱芜市,山东省,0.023529411764705882,0.03025210084033613,4.978623080365892e-05
1935,ST0083,青岛市,山东省,0.011764705882352941,0.0,4.6032034252053073e-05
1935,ST0086,大同市,山西省,0.023529411764705882,0.03025210084033613,0.00041994462528998196
1935,ST0088,忻州市,山西省,0.011764705882352941,0.0,0.0002609160763440439
1935,ST0094,阳泉市,山西省,0.011764705882352941,0.0,0.0002609160763440439
1935,ST0098,广州市,广东省,0.011764705882352941,0.0,3.99277308072389e-05
1935,ST0106,深圳市,广东省,0.011764705882352941,0.0,3.99277308072389e-05
1935,ST0113,韶关市,广东省,0.011764705882352941,0.0,0.00043881782478004253
1935,ST0130,南京市,江苏省,0.023529411764705882,0.04033613445378151,7.680486942872177e-05
1935,ST0134,徐州市,江苏省,0.023529411764705882,0.037815126050420166,7.548176531563349e-05
1935,ST0144,九江市,江西省,0.011764705882352941,0.0,5.3973633036923445e-05
1935,ST0145,南昌市,江西省,0.047058823529411764,0.032773109243697474,6.951685028709916e-05
1935,ST0148,抚州市,江西省,0.011764705882352941,0.0,6.904716725275545e-05
1935,ST0149,新余市,江西省,0.023529411764705882,0.01764705882352941,6.84555317263223e-05
1935,ST0151,萍乡市,江西省,0.03529411764705882,0.012605042016806721,6.664101835898736e-05
1935,ST0153,鹰潭市,江西省,0.023529411764705882,0.03333333333333333,7.036535303836862e-05
1935,ST0154,保定市,河北省,0.011764705882352941,0.0,0.0004862574252563833
1935,ST0155,唐山市,河北省,0.023529411764705882,0.07563025210084033,0.0005690268047914077
1935,ST0156,廊坊市,河北省,0.03529411764705882,0.010644257703081231,0.0005186198683101062
1935,ST0157,张家口市,河北省,0.023529411764705882,0.0392156862745098,0.0005208789052433602
1935,ST0159,沧州市,河北省,0.011764705882352941,0.0,4.4420865739228914e-05
1935,ST0161,秦皇岛市,河北省,0.03529411764705882,0.08123249299719887,0.0005732560127432437
1935,ST0173,新乡市,河南省,0.011764705882352941,0.0,0.00015840454937865816
1935,ST0177,焦作市,河南省,0.011764705882352941,0.0,0.00015840454937865816
1935,ST0185,宁波市,浙江省,0.011764705882352941,0.0,7.212887039871417e-05
1935,ST0186,杭州市,浙江省,0.023529411764705882,0.0392156862745098,7.565295643118e-05
1935,ST0189,绍兴市,浙江省,0.03529411764705882,0.04005602240896358,7.533537632149088e-05
1935,ST0203,鄂州市,湖北省,0.011764705882352941,0.0,0.0003969199015638644
1935,ST0206,黄石市,湖北省,0.011764705882352941,0.0,0.0003969199015638644
1935,ST0212,株洲市,湖南省,0.011764705882352941,0.0,6.610899293255842e-05
1935,ST0216,衡阳市,湖南省,0.011764705882352941,0.0,3.776503679848788e-05
1935,ST0218,郴州市,湖南省,0.011764705882352941,0.0,0.00043881782478004253
1935,ST0243,丹东市,辽宁省,0.011764705882352941,0.0,0.0006083144709853795
1935,ST0244,大连市,辽宁省,0.011764705882352941,0.0,0.000518909828107793
1935,ST0245,抚顺市,辽宁省,0.023529411764705882,0.09859943977591036,0.0007308369014687227
1935,ST0246,朝阳市,辽宁省,0.011764705882352941,0.0,2.140360565140804e-05
1935,ST0247,本溪市,辽宁省,0.023529411764705882,0.010644257703081231,0.0006841535289097822
1935,ST0248,沈阳市,辽宁省,0.07058823529411765,0.13361344537815126,0.0007362186262441176
1935,ST0249,盘锦市,辽宁省,0.03529411764705882,0.10168067226890756,0.0007075111636516582
1935,ST0250,营口市,辽宁省,0.03529411764705882,0.021008403361344536,0.0005635477528172108
1935,ST0251,葫芦岛市,辽宁省,0.023529411764705882,0.08627450980392157,0.0006451497148171039
1935,ST0252,辽阳市,辽宁省,0.023529411764705882,0.03025210084033613,0.000635693739557654
1935,ST0253,铁岭市,辽宁省,0.023529411764705882,0.0,0.0006482445869019816
1935,ST0254,锦州市,辽宁省,0.023529411764705882,0.0907563025210084,0.0006880008445990643
1935,ST0255,阜新市,辽宁省,0.03529411764705882,0.0,0.0006583318364688137
1935,ST0256,鞍山市,辽宁省,0.011764705882352941,0.0,0.0005427558508616829
1935,ST0269,七台河市,黑龙江省,0.011764705882352941,0.0,0.0002515299545137596
1935,ST0270,伊春市,黑龙江省,0.023529411764705882,0.0,0.0004583325260031387
1935,ST0271,佳木斯市,黑龙江省,0.011764705882352941,0.0,6.563368005418717e-06
1935,ST0273,哈尔滨市,黑龙江省,0.058823529411764705,0.005602240896358543,0.0004815004732380391
1935,ST0274,大庆市,黑龙江省,0.03529411764705882,0.03949579831932773,0.0005514964226337902
1935,ST0275,牡丹江市,黑龙江省,0.047058823529411764,0.030812324929971987,0.00044626494723511135
1935,ST0276,鸡西市,黑龙江省,0.023529411764705882,0.010644257703081231,0.0004355389472327814
1935,ST0277,鹤岗市,黑龙江省,0.011764705882352941,0.0,6.563368005418717e-06
1935,ST0279,齐齐哈尔市,黑龙江省,0.047058823529411764,0.021008403361344536,0.0005463325568299005
1936,ST0001,上海市,上海市,0.023255813953488372,0.03912448700410397,7.564795109914714e-05
1936,ST0005,思茅市,云南省,0.011627906976744186,0.0,1.2798946595499403e-05
1936,ST0006,昆明市,云南省,0.011627906976744186,0.0,6.430608668364025e-06
1936,ST0009,玉溪市,云南省,0.023255813953488372,0.00027359781121751026,1.2840393206224997e-05
1936,ST0010,乌兰察布市,内蒙古自治区,0.023255813953488372,0.02188782489740082,0.00022057494309410305
1936,ST0012,包头市,内蒙古自治区,0.023255813953488372,0.01121751025991792,0.00019565889133243383
1936,ST0013,呼伦贝尔市,内蒙古自治区,0.011627906976744186,0.0,0.0005537258501683518
1936,ST0016,赤峰市,内蒙古自治区,0.011627906976744186,0.0,0.00043033740531076757
1936,ST0017,通辽市,内蒙古自治区,0.03488372093023256,0.05198358413132695,0.0006747345900507325
1936,ST0018,鄂尔多斯市,内蒙古自治区,0.011627906976744186,0.0,0.0001932203221406015
